id_studant,attempts,comments,blank_line,lloc,sloc,single_comments,system_access,exam_grade_codebench,difficult,delete_average,average_log_rows,submission_per_exercice,sucess_average,test_average,exercices_list_grade,exercices_list_grade_check_plagiarism,copy_past_proportion,sintaxe_error,IDE_usage,keystroke_latency,Media_Final,SITUATION
1387,67,0,48,935,935,0,2,10,2,27.45,125.91,2.27,0.91,0.91,10,0.91,47.97,0,38,0.52,7.71,1
1388,110,0,163,1512,1512,0,2,5,0.36,25.82,349.82,3.27,0.36,0.09,10,10,0.03,0.3,121,1.1,5.68,1
1389,83,0,192,952,924,0,8,5,2,28.45,382.18,3.55,0.55,3.27,10,9.09,0.3,0.24,107,1.22,5.75,1
1390,368,0,424,6100,6100,0,3,5,2,54.73,531.45,12.27,0.73,4.45,10,5.45,1.73,0.07,101,0.78,7.47,1
1391,196,97,221,2464,2561,97,4,10,0.09,29.82,436.82,4.09,0.27,1.09,10,10,0.12,0.39,53,0.78,6.67,1
1393,315,340,598,3536,3865,330,15,10,1.18,57.45,62269.36,1.36,0.73,12.73,8.18,8.18,0.46,0.09,202,1.75,6.87,1
1394,138,205,447,1819,2032,205,5,5,1.91,13.64,202,1.45,0.64,0.18,10,7.27,1.93,0.22,56,1,6.03,1
1395,120,0,196,1357,1357,0,14,10,1.36,74.18,833.27,3.09,0.73,4.27,10,8.18,0.49,0.06,162,1.5,8.27,1
1396,188,99,324,2586,2685,99,6,10,1.91,23.09,276.91,2.55,0.55,3.36,10,6.36,1.22,0.18,47,1.13,6.77,1
1397,71,0,28,1087,1087,0,3,10,2,22.73,204.18,4.55,0.73,0.64,10,4.55,7,0.19,89,2,6.5,1
1398,174,10,285,2372,2382,10,6,10,0.55,23.91,73344.64,1.45,0.55,1.64,10,9.09,0.4,0.07,89,1.2,5.54,1
1401,149,0,159,2330,2330,0,6,0,2,50.27,447.55,1.64,0.64,4.91,10,6.36,2.34,0.15,83,1.13,5.24,1
1403,158,36,119,1543,1575,32,6,5,2,32.27,31480.55,1.36,0.64,3.36,9.09,3.64,4,0.11,63,0.89,3.95,2
1403,158,36,119,1543,1575,32,5,5.57,2,32.92,276.75,1.17,0.25,5.08,5.83,5.83,0.12,0.48,136,1.27,3.95,2
1428,33,40,59,529,569,40,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,5
1428,33,40,59,529,569,40,7,0,2,58.42,373.42,2.67,0.17,7.17,6.67,5,5.35,0.41,180,1,0,5
1430,165,0,101,1745,1745,0,7,10,1.18,47.09,61374.45,2.09,0.64,9.45,10,10,0.06,0,275,1.56,10,1
1431,171,0,5,1537,1537,0,6,5,1.45,44.91,28815.09,2.45,0.36,8.18,8.18,8.18,0.86,0.09,107,1,6.38,1
1433,42,15,14,417,410,0,2,-1,0.27,3.64,68.91,1.91,0.55,0.45,10,7.27,29.51,0.09,28,0,1.85,3
1434,228,263,1023,2992,3247,255,7,0,2,1.82,102.36,1,1,0.73,10,0.91,23.43,0,126,0.67,5.32,1
1437,279,6,390,3806,3806,0,5,10,1,90.09,907.91,13.82,0.27,11.36,9.09,9.09,0.24,0.18,189,1,8.41,1
1437,279,6,390,3806,3806,0,1,-1,2,0,0,0,0,0,0,0,0,1,0,0,8.41,1
1441,329,4,458,2916,2916,0,15,5,1.73,30,45779.64,2.09,0.27,15.73,10,6.36,2.58,0.13,183,0.75,5.22,1
1443,185,559,1002,1556,2057,501,4,5,1.45,10.09,204,1.73,0.09,4.09,2.73,1.82,1.04,0.72,60,0.4,5.47,1
1448,29,3,50,511,514,3,2,5,2,0,0,0,0,0,0,0,0,1,0,0,3.09,2
1448,29,3,50,511,514,3,1,-1,2,0,0,0,0,0,0,0,0,1,0,0,3.09,2
1450,81,292,256,1058,1350,292,3,10,1.36,54.91,232.36,0.64,0.27,2.36,3.64,3.64,19.84,0.45,100,0.88,0,5
1451,261,0,219,2270,2270,0,5,10,1.82,58.64,679.64,10.45,0.45,7.82,10,10,0.27,0.14,115,2.13,6.13,1
1458,340,36,603,3519,3549,30,7,10,1.45,60.27,47391.36,6,0.27,18.64,10,7.27,0.93,0.06,270,0.38,3.96,2
1461,170,492,593,2074,2566,492,4,10,0,49.91,733.36,10.27,0,8,10,10,0.61,0.17,139,0.89,9.33,1
1462,228,7,355,2835,2796,1,6,5,1.27,198.82,28788.64,5.18,0.27,10.73,10,8.18,2.01,0.34,369,1.5,4.3,2
1462,228,7,355,2835,2796,1,26,3.33,2,10,231.42,2.25,0.5,5.08,6.67,6.67,7.68,0.34,77,1.22,4.3,2
1463,181,584,527,2000,2584,584,8,10,0.18,31.73,725.09,7.73,0.55,6.36,10,10,2.59,0.09,149,0.88,9.85,1
1464,328,20,940,9676,9696,20,10,10,2,39.36,623.91,11.18,0.18,9.27,9.09,8.18,0.89,0.09,246,2.22,5.6,1
1465,239,6,47,2512,2518,6,10,10,0.64,70.18,31926.73,4.73,0.55,12.09,10,10,1.68,0.07,305,1.5,6.35,1
1473,44,18,67,480,492,12,6,-1,1.36,25.27,389.18,2.82,0.55,1.36,10,9.09,0.31,0.25,146,1.5,0.64,2
1473,44,18,67,480,492,12,2,-1,2,0,0.58,0,0,0,0,0,0,1,0,0,0.64,2
1519,42,0,1,909,909,0,3,0,1.09,0.18,18.09,1,1,0.09,10,0.91,213.82,0,3,0.23,5,1
1520,69,87,107,595,676,81,7,0,1.09,9.73,116.36,1.18,1,2.55,10,1.82,58.02,0,59,0.18,5.2,1
1549,16,16,0,162,169,7,9,5,2,0.73,58.09,1,0.55,0,10,6.36,32.98,0.12,14,0,1.18,2
1550,335,16,409,3801,3817,16,13,5,1.18,124.82,46227.45,6.45,0.27,14.45,8.18,7.27,1.13,0.16,227,1.56,5.02,1
1551,189,158,0,2435,2560,125,6,-1,1.45,12.64,240.27,10,0.18,3.55,10,7.27,29.06,0.53,130,0.14,1.25,2
1555,132,5,175,1299,1302,5,8,-1,1.64,59.27,46278,1.73,0.27,7.27,5.45,5.45,1.03,0.56,139,2.13,3.51,2
1555,132,5,175,1299,1302,5,0,-1,2,74.42,463.25,4,0.08,6.5,2.5,2.5,3.84,0.51,106,1.38,3.51,2
1557,120,1,78,1498,1499,1,8,5,2,33.82,434.73,2.64,0.64,2.09,10,9.09,0,0.14,144,1.67,5.46,1
1558,172,0,217,1427,1427,0,11,10,0.91,31.45,91084.09,1.36,0.73,6.27,10,9.09,1.23,0,338,1.89,5.75,1
1559,192,20,393,2289,2307,20,11,5,2,32,402.27,2.45,0.09,5.18,5.45,4.55,0.29,0.67,171,2.33,3.15,2
1561,219,1067,468,2069,3063,995,5,5,1.73,38.73,471,2.45,0.45,16.45,5.45,4.55,22.25,0.36,248,1.42,3.46,2
1561,219,1067,468,2069,3063,995,2,0,2,18.33,169.25,0.58,0.17,3,1.67,1.67,1.13,0.75,79,0.82,3.46,2
1562,215,52,451,2341,2393,55,6,5,1.82,97.73,607.55,2.09,0.55,6.73,10,9.09,2.84,0,138,1.44,5.01,1
1563,156,111,13,3438,3551,116,8,5,1.09,31.09,314.91,0.55,0.27,0.91,4.85,4.85,3.02,0.45,106,1.11,6.22,1
1565,380,168,346,5978,6140,162,7,5,1.73,38.55,272.18,2.09,0.73,3.27,9.09,2.73,17.97,0.06,55,0.9,5.02,1
1567,39,0,398,504,504,0,2,-1,2,0,0,0,0,0,0,0,0,1,0,0,0.83,2
1575,132,92,100,814,897,84,12,0,2,3.45,30.27,1.55,0.91,0.55,10,1.82,2569.67,0.02,12,0,1.94,2
1575,132,92,100,814,897,84,0,-1,2,0,0,0,0,0,0,0,0,1,0,0,1.94,2
1577,79,0,67,1011,1007,0,9,5,1.18,51.45,406.18,6.27,0,6.45,4.55,4.55,0.5,0.83,59,1.22,0,5
1578,16,0,24,127,142,0,2,5,1.64,5.27,49.36,0.18,0.18,0.36,1.82,1.82,0.22,0.82,23,0,0.48,2
1578,16,0,24,127,142,0,2,-1,2,0,0,0,0,0,0,0,0,1,0,0,0.48,2
1585,130,0,123,1993,1993,0,12,6.65,1.45,17.82,231,1.45,0.55,2.18,10,6.36,1.54,0.08,90,0.5,7.49,1
1586,257,0,349,3207,3207,0,10,5,2,44.55,529.64,5.18,0.36,7.18,10,7.27,1.6,0.29,140,0.91,6.1,1
1587,140,258,188,2032,2290,258,1,0,1.91,0,18.91,1.18,0.91,0.18,10,0.91,0,0,19,0,5.34,1
1592,152,264,616,1817,2081,264,12,5,1.27,11.09,176,2.73,0.73,2.64,10,4.55,35.36,0.08,80,0.88,0,5
1598,74,3,46,655,658,3,4,-1,2,16.27,283.82,1,0.09,4.82,1.82,1.82,0.47,0.83,79,1.22,0,5
1598,74,3,46,655,658,3,5,0,2,15.17,246.33,3.58,0.33,6.08,6.67,5,6.55,0.37,203,1.38,0,5
1600,115,0,115,1117,1117,0,9,5,1.73,35.82,16412.55,2.36,0.09,6.64,9.09,9.09,0.35,0.13,185,1.1,1.54,3
1600,115,0,115,1117,1117,0,2,6.67,2,9.17,119.5,0.83,0.33,1.17,5,5,0.24,0.5,69,1.89,1.54,3
1602,128,51,112,1169,1217,48,27,5,1.55,52.36,25291.45,3.27,0.45,6.82,9.09,6.36,3.27,0.18,117,1.2,5,1
1603,44,108,207,345,453,108,2,5,1.36,46.09,389.36,0.55,0.18,3,3.64,3.64,0.26,0.68,112,1.13,5.03,1
1605,82,0,117,896,896,0,6,5,2,11.55,211.73,1.27,0.55,0.18,10,7.27,0.96,0.07,71,1.5,6.77,1
1606,44,0,23,315,315,0,3,5,2,56.73,1055,4.09,0.82,0.55,10,10,0.01,0.1,500,1.25,5.49,1
1610,111,0,248,946,947,0,3,10,1.55,6.18,81134.27,1.27,0.73,1.45,10,0.91,25.89,0,29,1.13,5.8,1
1611,97,85,130,1332,1417,85,9,5,1,7.91,189.18,1.82,0.82,0,10,5.45,4.13,0.07,28,0.9,7.11,1
1612,505,37,1852,8118,7734,37,16,10,2,66.64,897,7.09,0.27,23.18,10,9.09,0.28,0.13,204,1.15,6.4,1
1614,75,0,228,1042,1042,0,1,-1,2,6.27,81.73,1,0.18,0.73,2.73,2.73,0,0.8,49,1.18,0.87,2
1616,369,1149,1511,4316,5456,1140,25,10,0.73,37.45,626,8.55,0.18,12.73,10,9.09,4.26,0.39,169,1.1,8.19,1
1617,136,0,237,1524,1524,0,6,-1,2,0,0,0,0,0,0,0,0,1,0,0,7.12,1
1617,136,0,237,1524,1524,0,5,5,2,34.36,454,2.27,0.55,4.18,10,10,0.16,0.08,95,0.7,7.12,1
1618,124,28,72,1202,1230,28,3,10,2,21.73,313.27,4.45,0.36,0.18,10,10,0,0.17,50,1.18,7.42,1
1619,59,0,28,783,783,0,4,5,2,6,134,0.91,0.73,0,10,3.64,3.25,0,35,1.18,7.04,1
1620,97,12,99,1344,1356,12,5,5,2,17.27,211.18,2.91,0.82,0.55,10,6.36,1.66,0.15,81,0.88,8.7,1
1621,103,3,68,1139,1142,3,6,5,2,56.27,563.91,3.55,0.36,1.91,9.09,9.09,0.02,0.34,132,1.78,5.88,1
1622,108,84,66,1951,2035,84,2,-1,1.91,15.45,274,1.18,0.45,0.55,10,9.09,0.07,0.07,61,1.4,5.89,1
1623,7,0,17,55,55,0,6,5,0.73,66.27,454.09,3.09,0.36,0.45,6.36,6.36,0,0.57,84,2.13,1.32,2
1625,392,779,115,5188,5877,704,12,-1,2,0,0,0,0,0,0,0,0,1,0,0,6.92,1
1625,392,779,115,5188,5877,704,7,0,1.36,20.91,420.82,5.18,0.18,6.45,10,10,0.12,0.23,106,1.44,6.92,1
1628,103,0,176,2121,2119,0,8,5,2,5.18,513.55,2,0.64,0.55,10,6.36,3.73,0.08,86,2.25,6.73,1
1629,112,0,136,1292,1292,0,8,0,2,22.09,329.82,2.64,0.55,2,10,8.18,1.26,0.19,109,1.78,6.13,1
1631,104,0,80,1208,1207,0,3,10,1,25.09,379.73,3.45,0.73,1.64,10,10,0.15,0.09,45,1,5.86,1
1633,54,0,99,898,898,0,3,10,1.36,10.55,266.55,0.82,0.55,0,10,10,0.04,0.05,49,1.3,7.63,1
1636,27,0,49,702,702,0,4,5,1.73,15.45,55,0.73,0.73,0,10,4.55,1149.4,0,5,0,6.84,1
1636,27,0,49,702,702,0,4,-1,2,0,0,0,0,0,0,0,0,1,0,0,6.84,1
1637,396,736,1258,4348,5082,735,21,0,1.64,89.45,15286,6,0.27,21,10,9.09,0.59,0.24,196,1.11,7.85,1
1638,465,3,1212,5707,5710,14,19,10,1.82,179.45,3479,2.45,0.55,21.82,10,9.09,1.24,0.04,233,1.1,6.97,1
1639,229,748,144,2850,3570,720,14,10,1.55,71.27,12083.27,4.36,0.36,12,10,10,20.94,0.13,246,2.11,9.91,1
1640,297,816,826,5332,6148,816,6,5,2,66,17229.82,1.55,0.64,4.27,10,10,0.98,0.12,74,0.92,7.05,1
1641,420,605,339,6949,7554,605,20,10,1.36,107.55,45783.09,5.73,0.18,16.36,10,9.09,1.2,0.3,316,0.92,8.95,1
1642,66,15,80,495,510,15,4,-1,1.82,14.09,92.18,0.36,0.18,6.91,1.82,1.82,5.13,0.82,21,0.33,0.27,2
1642,66,15,80,495,510,15,0,-1,2,0,0,0,0,0,0,0,0,1,0,0,0.27,2
1643,175,0,37,2142,2140,0,8,10,1.18,41.09,222.45,0.55,0.55,1.91,10,2.73,13.93,0.05,43,1.25,7.13,1
1644,42,0,199,605,605,0,2,-1,1.09,0,16.18,1,1,0,10,0,0,0,5,0,5.15,1
1645,1,0,0,6,5,0,3,-1,1,2.91,30.55,0.82,0.73,1.64,10,0.91,455.05,0,17,0.36,5.03,1
1646,12,25,0,209,230,25,7,0,1.73,0,30.36,1.27,0.82,0,10,1.82,0,0.11,15,0,3.36,2
1647,88,292,106,3033,3325,292,1,-1,2,0,24.73,1.09,0.91,0,10,0,861.25,0.05,7,0,0,5
1648,290,4,98,4150,4154,4,9,5,1.73,94.91,8765.45,0.73,0.09,6.27,10,9.09,0.11,0.2,191,1.38,6.47,1
1649,250,103,181,4276,4376,103,19,5,2,24.45,14590.18,1.55,0.45,5.91,10,6.36,6.6,0.06,163,1.22,7.91,1
1650,182,0,421,2865,2865,0,5,5,2,9.36,95.55,4.91,0.36,0.82,10,5.45,29.41,0.19,30,0.7,7.05,1
1651,150,0,434,2086,2084,0,13,10,2,15,25866.27,1.09,0.64,3.27,10,10,1.1,0,91,1.3,8.1,1
1652,155,215,96,1996,2200,215,14,10,0.45,10,204,3.18,0.45,2.82,10,4.55,43.53,0.23,46,0.27,8.2,1
1652,155,215,96,1996,2200,215,0,-1,2,0,0,0,0,0,0,0,0,1,0,0,8.2,1
1653,16,0,16,336,336,0,1,5,1.09,0,14,1,1,0,10,0,0,0,11,0,7.63,1
1654,73,204,78,1168,1372,204,0,-1,2,0,0,0,0,0,0,0,0,1,0,0,0,5
1655,77,8,25,861,862,8,3,5,1.36,0,15.27,0.91,0.91,0,10,0,1067,0,7,0,5.49,1
1656,67,17,59,662,679,17,9,-1,2,0.09,22.27,1,1,1,10,0,250.06,0,33,0,1.57,2
1657,232,0,212,3396,3396,0,9,5,1,71.55,619.09,1.82,0.45,5.64,10,9.09,0.5,0.26,155,1.33,8.46,1
1658,87,0,65,664,664,0,1,5,1.91,0.18,31.82,2.45,0.55,0.91,10,0.91,0,0.08,11,0,5.26,1
1659,254,488,521,3499,3964,488,27,5,1.27,57.45,5308.55,4,0.36,195,10,9.09,1.38,0.11,143,1.22,8.43,1
1660,114,0,72,1494,1494,0,11,5,1.45,16.55,298.27,4.91,0.45,4.55,10,5.45,6.27,0.11,122,0.75,8.94,1
1661,42,2,58,1325,1327,2,2,0,0.55,0.36,24.09,0.73,0.73,1.27,10,0.91,1753,0,16,0,5.43,1
1663,58,239,75,1233,1472,239,8,0,1.09,4.45,106.64,2.18,0.82,1.27,9.09,2.73,10.81,0.09,13,1,4.57,2
1664,170,303,467,2222,2525,303,12,5,1.55,55.64,58818,2,0.45,7.27,9.09,7.27,1.63,0.03,128,1.22,6.65,1
1666,41,0,49,780,780,0,1,5,1.91,25.73,390.36,1.55,0.73,2.73,10,10,0,0.06,60,1.13,6.81,1
1667,134,41,207,1617,1658,41,6,-1,2,0,0,0,0,0,0,0,0,1,0,0,6.21,1
1667,134,41,207,1617,1658,41,4,5,2,19.27,202.09,1.27,0.64,2.18,10,4.55,19.66,0.06,71,0,6.21,1
1668,177,99,318,2003,2102,99,5,5,0.91,40,72326.27,1.55,0.36,4.09,10,9.09,0.64,0.09,121,1.25,6.39,1
1669,144,173,246,2071,2244,173,7,5,1.27,19.45,23787.27,1.73,0.73,2.45,10,4.55,4.2,0.12,65,1.22,6.58,1
1670,23,3,32,109,112,3,1,-1,2,0,0,0,0,0,0,0,0,1,0,0,2.24,2
1674,197,20,204,3640,3660,20,12,5,1.45,25,11338.73,1.45,0.73,3.73,10,3.64,4.47,0,77,0.89,8.35,1
1676,65,25,58,789,814,25,16,0,0.55,5.36,54.64,0.82,0.82,0,10,2.73,143.93,0,14,0.75,6.25,1
1677,236,72,1250,3102,3170,68,10,-1,0.27,170.27,23599.18,14.91,0.45,9.64,10,8.18,1.64,0.42,346,1.9,1.02,2
1682,50,50,48,531,581,50,16,5,1.55,2.27,34.55,1.27,0.82,0,10,2.73,1275.33,0.05,6,0,6.88,1
1683,37,3,14,371,373,2,2,-1,2,3.91,39.27,1.55,0.36,0.09,6.36,0.91,50.22,0.29,37,0,0,3
1684,6,0,15,132,132,0,2,-1,1.55,6.36,37.45,0.91,0.91,0.09,10,2.73,179.71,0,6,0.5,5,1
1687,200,0,32,2194,2194,0,9,5,1.91,21.55,62826,5,0.36,7.36,10,9.09,0.04,0.16,88,1,5.02,1
1692,114,357,531,2151,2508,358,7,5,1.27,34.73,413.73,6.36,0.45,1.73,10,9.09,1.25,0.25,143,1.5,8.43,1
1693,118,201,198,1871,2072,201,10,10,0.55,7.36,69.91,3.18,0.73,0.27,10,2.73,307.78,0.15,23,0.24,7.23,1
1694,176,136,293,2676,2710,34,7,5,1.36,52.27,37881.18,1.91,0.36,5,9.09,8.18,0.92,0.15,159,0.89,7.02,1
1696,16,0,22,137,137,0,2,-1,1.55,11,249.09,1.18,0.64,0.09,10,10,0,0,44,2.13,0.39,2
1698,66,0,43,885,885,0,6,5,1.18,30.82,72163.27,2,0.55,3.64,10,7.27,5.71,0.2,109,1,7.33,1
1699,280,1698,1184,3487,5185,1698,12,5,1.27,71.64,68514.27,2.64,0.55,15.45,10,9.09,2.45,0.09,156,1.38,7.61,1
1701,31,0,22,185,185,0,2,5,2,12.09,77.27,0,0,0.55,0,0,0,1,44,1.33,0,2
1702,49,2,98,609,611,2,1,-1,1.64,26.91,287.64,2.55,0.09,3.45,2.73,2.73,0.01,0.81,140,0.89,0.85,3
1704,135,642,289,1859,2373,514,5,0,2,24.91,38321.82,10.36,0.55,3.91,10,8.18,2.49,0.18,159,1,5.05,1
1705,227,481,659,5801,6282,481,11,-1,1.55,87.36,581.45,1.09,0.36,8.73,5.45,5.45,1.73,0.5,184,1.3,0,5
1709,219,114,307,1815,1885,70,4,-1,1.09,31.36,41034.73,2.55,0.09,10.64,1.82,1.82,2.23,0.64,111,2.13,0,5
1710,277,122,322,3719,3841,122,11,5,1.27,66.73,37948,0.82,0.27,8,4.55,3.64,0.22,0.48,153,1.13,0,5
1712,9,10,6,72,82,10,1,-1,1.91,1.82,28.09,0.36,0,0.45,0,0,9.62,1,14,0,0,3
1718,163,215,16,2662,2811,155,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0.48,2
1727,69,1,77,732,733,1,7,5,2,6.82,148.27,1.45,0.27,1.55,10,3.64,3.47,0.23,19,1.11,5.09,1
1728,137,1,44,1917,1926,1,3,-1,1,18.64,448.64,5.18,0.55,1.82,9.09,1.82,32.09,0.26,506,0.88,1.13,2
1729,83,1,32,993,994,1,5,0,1.09,24.91,323.27,3.09,0.45,0.55,10,10,0.1,0.11,66,1.11,5.45,1
1732,16,1,21,248,249,1,1,10,2,0.09,11.45,0.64,0.64,0,7.27,0,2451,0.27,2,0,6.21,1
1752,48,0,39,946,946,0,4,5,1.36,32.18,304.55,0.91,0.91,2.36,10,10,0.07,0,59,1.42,5.88,1
1753,129,3,143,1962,1965,3,10,5,1.45,27.36,516.45,3,0.73,3.91,10,10,0.08,0.05,123,1.23,5.51,1
1759,1,0,0,160,160,0,0,-1,2,0,0,0,0,0,0,0,0,1,0,0,0,5
1764,21,0,73,86,77,0,4,-1,1.64,4,49.36,0.18,0.18,0.27,1.82,1.82,0,0.82,17,0,0.01,3
1764,21,0,73,86,77,0,1,-1,2,0,0,0,0,0,0,0,0,1,0,0,0.01,3
